article_id,category_id,created_at_ts,publisher_id,words_count
973,1,1453205323000,0,224
1537,1,1481673598000,0,234
1641,1,1486053616000,0,171
1873,1,1508016820000,0,169
1906,1,1508161965000,0,163
1932,1,1507986136000,0,251
1975,1,1508076487000,0,174
2043,1,1507808822000,0,175
2055,1,1499457545000,0,271
2075,1,1506951125000,0,179
2116,1,1507826668000,0,159
2134,1,1508008398000,0,222
2136,1,1506875347000,0,191
2175,1,1507929727000,0,170
2231,1,1507195826000,0,195
2243,1,1507289348000,0,212
2278,1,1507567089000,0,161
2303,1,1506940921000,0,204
2392,1,1507675228000,0,222
2462,1,1507670969000,0,186
2626,1,1506944625000,0,158
2628,1,1507886793000,0,229
2647,1,1507120576000,0,191
2656,1,1507652324000,0,181
2764,1,1507392679000,0,172
2807,1,1507990560000,0,205
2849,1,1507371959000,0,191
2950,1,1507116827000,0,164
2962,1,1507292058000,0,167
2986,1,1507550389000,0,143
3027,1,1508162507000,0,175
3061,1,1507886972000,0,161
3087,1,1507203061000,0,169
3091,1,1507482869000,0,177
3106,1,1506948230000,0,176
3129,1,1507287446000,0,185
3140,1,1507637111000,0,184
3145,1,1507655587000,0,225
3148,1,1507549285000,0,198
3171,1,1507842539000,0,243
3186,1,1499363875000,0,232
3232,1,1507556159000,0,215
3240,1,1507308336000,0,142
3244,1,1508220059000,0,153
3285,1,1507644646000,0,201
3310,1,1507282805000,0,210
3329,1,1507892774000,0,263
3394,1,1507566093000,0,221
3415,1,1507585220000,0,226
3434,1,1507552802000,0,188
3464,1,1506973796000,0,160
3467,1,1507559279000,0,164
3616,1,1507664386000,0,165
3666,1,1507730151000,0,219
3784,1,1508157641000,0,216
3797,1,1507731997000,0,168
3841,1,1507588865000,0,177
3867,1,1507728158000,0,194
3885,1,1507032074000,0,143
3899,1,1506936137000,0,224
3913,1,1507641316000,0,202
3915,1,1508083400000,0,165
4035,1,1507562817000,0,235
4374,1,1507380842000,0,161
4395,1,1508063209000,0,137
4533,2,1507758797000,0,171
4549,2,1507804071000,0,153
4568,2,1507829578000,0,188
4639,2,1507385791000,0,185
4673,2,1507659038000,0,156
4708,2,1507831260000,0,180
4729,2,1507841748000,0,148
4776,2,1507459675000,0,201
4789,2,1507562373000,0,169
4830,2,1506960278000,0,230
4867,2,1507482403000,0,181
4899,2,1507667863000,0,207
4907,2,1507555132000,0,210
4967,2,1506976922000,0,193
5033,2,1507388307000,0,184
5072,2,1508078463000,0,184
5107,2,1507651032000,0,184
5113,2,1507642912000,0,164
5137,2,1507232854000,0,168
5252,2,1507584049000,0,164
5254,2,1507472885000,0,220
5259,2,1508063205000,0,150
5272,2,1507459186000,0,156
5278,2,1506864560000,0,153
5292,4,1507685457000,0,118
5314,4,1507080657000,0,156
5349,4,1508113857000,0,174
5353,4,1506909722000,0,264
5366,4,1507512611000,0,193
5387,4,1507254357000,0,196
5391,4,1507599057000,0,320
5408,4,1506994257000,0,118
5434,6,1412558008000,0,285
5852,6,1390009674000,0,159
6098,6,1409926359000,0,192
7126,6,1467914112000,0,159
7329,6,1482999714000,0,216
7694,6,1506975208000,0,209
7744,6,1507547483000,0,211
7759,6,1506639543000,0,224
7767,6,1507633324000,0,226
7855,6,1507282862000,0,169
7908,6,1507881942000,0,184
7920,6,1507450746000,0,197
7957,6,1507897743000,0,168
7970,6,1507010638000,0,186
7982,6,1507547239000,0,173
8259,6,1507895386000,0,173
8404,6,1507720922000,0,168
8407,6,1507654090000,0,197
8417,6,1506925146000,0,248
8458,6,1503902853000,0,183
8489,6,1507981124000,0,127
8497,6,1507910166000,0,193
8618,6,1507835991000,0,223
8679,6,1508152006000,0,217
8704,6,1507572907000,0,147
